exchange,timestamp,market,observed_entry_price,alpha_score,reason_group,status,window_start,deadline,max_high,min_low,time_stop_exit,mfe_net_pct,mae_net_pct,time_stop_net_pct,reason
bithumb,2026-09-07T09:06:37+09:00,KRW-JUP,371.0,47,반등 미확인,PENDING_90M,,2026-09-07T10:36:37+09:00,,,,,,,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 47점, MA5 > MA20, RSI 75.0, %B 0.85, 저점거리 3.06%, 최근고점대비 1.08%, 반등확인 차단, 이격 안정, 1H 371.0 >= EMA20 349.2 (기준 0.998)"
bithumb,2026-09-07T09:11:37+09:00,KRW-WLD,576.0,43,RSI 범위 이탈,PENDING_90M,,2026-09-07T10:41:37+09:00,,,,,,,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 43점, MA5 > MA20, RSI 83.3, %B 1.02, 저점거리 1.05%, 최근고점대비 0.35%, 반등확인 통과, 이격 안정, 1H 572.0 >= EMA20 560.9 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=통과, 거래량배수=2.37, 양봉=통과, RSI=차단, 1H MTF=통과"
bithumb,2026-09-07T09:11:37+09:00,KRW-LINK,18070.0,49,거래량 부족,PENDING_90M,,2026-09-07T10:41:37+09:00,,,,,,,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 49점, MA5 > MA20, RSI 71.8, %B 0.83, 저점거리 1.23%, 최근고점대비 0.06%, 반등확인 통과, 이격 안정, 1H 17990.0 >= EMA20 17050.8 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=통과, 거래량배수=0.40, 양봉=통과, RSI=통과, 1H MTF=통과"
bithumb,2026-09-07T09:11:38+09:00,KRW-VIRTUAL,989.0,52,거래량 부족,PENDING_90M,,2026-09-07T10:41:38+09:00,,,,,,,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 52점, MA5 > MA20, RSI 69.0, %B 0.69, 저점거리 1.23%, 최근고점대비 0.71%, 반등확인 차단, 이격 안정, 1H 991.0 >= EMA20 956.6 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.75, 양봉=차단, RSI=통과, 1H MTF=통과"
bithumb,2026-09-07T09:11:38+09:00,KRW-ONDO,528.0,47,돌파 미확인,PENDING_90M,,2026-09-07T10:41:38+09:00,,,,,,,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 47점, MA5 > MA20, RSI 68.8, %B 0.79, 저점거리 0.96%, 최근고점대비 0.19%, 반등확인 통과, 이격 안정, 1H 527.0 >= EMA20 515.6 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=1.53, 양봉=통과, RSI=통과, 1H MTF=통과"
bithumb,2026-09-07T09:11:38+09:00,KRW-UNI,9880.0,54,거래량 부족,PENDING_90M,,2026-09-07T10:41:38+09:00,,,,,,,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 54점, MA5 > MA20, RSI 65.1, %B 0.85, 저점거리 1.44%, 최근고점대비 0.71%, 반등확인 통과, 이격 안정, 1H 9940.0 >= EMA20 9632.8 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.66, 양봉=통과, RSI=통과, 1H MTF=통과"
bithumb,2026-09-07T09:11:39+09:00,KRW-SUI,1107.0,59,하드 게이트,PENDING_90M,,2026-09-07T10:41:39+09:00,,,,,,,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 59점, MA5 > MA20, RSI 65.5, %B 1.02, 저점거리 0.73%, 최근고점대비 0.09%, 반등확인 통과, 이격 안정, 1H 1103.0 >= EMA20 1091.3 (기준 0.998)"
bithumb,2026-09-07T09:11:39+09:00,KRW-ADA,306.0,50,RSI 범위 이탈,PENDING_90M,,2026-09-07T10:41:39+09:00,,,,,,,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 50점, MA5 > MA20, RSI 72.7, %B 1.07, 저점거리 1.32%, 최근고점대비 0.00%, 반등확인 통과, 이격 안정, 1H 304.0 >= EMA20 299.6 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=통과, 거래량배수=2.70, 양봉=통과, RSI=차단, 1H MTF=통과"
bithumb,2026-09-07T09:11:39+09:00,KRW-PENGU,11.99,54,하드 게이트,PENDING_90M,,2026-09-07T10:41:39+09:00,,,,,,,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 54점, MA5 > MA20, RSI 64.0, %B 0.99, 저점거리 0.76%, 최근고점대비 0.00%, 반등확인 통과, 이격 안정, 1H 12.0 >= EMA20 11.9 (기준 0.998)"
upbit,2026-09-07T00:03:52+09:00,KRW-FLOCK,99.5,47,RSI 범위 이탈,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:33:52+09:00,101.0,96.8,98.5,1.2237,-2.9856,-1.2818,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 47점, MA5 <= MA20, RSI 50.3, %B 0.28, 저점거리 4.85%, 최근고점대비 6.53%, 반등확인 차단, 이격 안정, 1H 99.5 >= EMA20 95.7 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.36, 양봉=차단, RSI=차단, 1H MTF=통과"
